Constituency Code,Constituency Name,ID,COMPANY,Company type,Note,website,Percentage of constituency's properties in this area
E14000758,Hyndburn,UUW,United Utilities,regional water and sewerage company,,https://www.unitedutilities.com/,100.0%
E14000759,Ilford North,TMS,Thames Water,regional water and sewerage company,,https://www.thameswater.co.uk/,80.5%
E14000759,Ilford North,NES,Essex & Suffolk Water (part of Northumbrian Water),regional water and sewerage company,,https://www.nwl.co.uk/,18.7%
E14000759,Ilford North,ALB,Albion Water,small new entrant water/sewerage company (sometimes referred to as a NAV),New entrant (NAV) company,https://www.albionwater.co.uk,0.9%
E14000760,Ilford South,NES,Essex & Suffolk Water (part of Northumbrian Water),regional water and sewerage company,,https://www.nwl.co.uk/,86.2%
E14000760,Ilford South,TMS,Thames Water,regional water and sewerage company,,https://www.thameswater.co.uk/,13.8%
E14000761,Ipswich,ANH,Anglian Water,regional water and sewerage company,,https://www.anglianwater.co.uk/,100.0%
E14000762,Isle of Wight,SRN,Southern Water,regional water and sewerage company,,https://www.southernwater.co.uk/,99.9%
E14000762,Isle of Wight,ICO,Icosa Water Services,small new entrant water/sewerage company (sometimes referred to as a NAV),New entrant (NAV) company,https://www.icosawater.co.uk/,0.1%
E14000763,Islington North,TMS,Thames Water,regional water and sewerage company,,https://www.thameswater.co.uk/,100.0%
E14000764,Islington South and Finsbury,TMS,Thames Water,regional water and sewerage company,,https://www.thameswater.co.uk/,100.0%
E14000765,Jarrow,NES,Northumbrian Water,regional water and sewerage company,,https://www.nwl.co.uk/,100.0%
E14000766,Keighley,YKY,Yorkshire Water,regional water and sewerage company,,https://www.yorkshirewater.com/,100.0%
E14000767,Kenilworth and Southam,SVE,Severn Trent Water,regional water and sewerage company,,https://www.stwater.co.uk/,100.0%
E14000767,Kenilworth and Southam,ANH,Anglian Water,regional water and sewerage company,,https://www.anglianwater.co.uk/,0.0%
E14000768,Kensington,TMS,Thames Water,regional water and sewerage company,,https://www.thameswater.co.uk/,100.0%
E14000769,Kettering,ANH,Anglian Water,regional water and sewerage company,,https://www.anglianwater.co.uk/,100.0%
